"Name","Att.%","SSC12/10","Gru12/10","SSC10/10","SSC3/10","SSC28/9","Gru28/9","SSC26/9","SSC21/9","Gru19/9","Gru14/9","Kar12/9","Gru7/9","Kar5/9","Gru30/8","Kar29/8","Kar29/8"
"Aggropolice","6%","","1","","","","","","","","","","","","","",""
"Aimar","6%","","1","","","","","","","","","","","","","",""
"Arrbi","12%","","","","","","","","","","1","","","","1","",""
"Bawdy","6%","","","","","","","1","","","","","","","","",""
"Blowmeister","6%","","","","","","","","1","","","","","","","",""
"Bull","12%","","","","","","","","","","","","","","1","1",""
"Bærlinwall","6%","1","","","","","","","","","","","","","","",""
"Ckydayle","62%","","","","1","1","1","1","1","1","1","","1","","1","","1"
"Cloudfire","37%","","","1","","","","","","","1","1","1","","1","1",""
"Daxa","81%","1","1","1","1","1","1","1","1","1","1","","1","","1","1",""
"Deekin","56%","1","1","1","1","","","1","","1","1","","1","","1","",""
"Enemy","18%","","","","","","","","","1","","","","1","","1",""
"Fourxxz","75%","1","1","1","1","1","1","1","1","","1","","1","","1","1",""
"Gargonzala","56%","","","","1","1","1","1","","1","","1","1","","1","1",""
"Garzhik","6%","","1","","","","","","","","","","","","","",""
"Gogoroth","93%","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",""
"Harahsjorn","43%","","","1","1","1","1","","1","1","","","1","","","",""
"Harmlessharm","93%","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",""
"Hipster","62%","1","1","1","1","1","1","","1","","","","1","","1","","1"
"Ixam","87%","1","1","1","1","1","1","1","1","1","1","1","1","","1","","1"
"Kaarism","68%","1","1","1","","1","1","1","1","1","1","1","1","","","",""
"Keyzer","75%","","","1","1","1","1","1","1","1","1","","1","1","1","","1"
"Kloro","6%","","","","","","","","","","1","","","","","",""
"Kroggar","75%","1","1","1","1","1","1","1","1","1","1","1","1","","","",""
"Lilypad","25%","1","1","1","1","","","","","","","","","","","",""
"Malið","18%","","","","","","","","","","1","","1","","1","",""
"Mayyday","81%","1","1","1","1","1","","1","1","1","1","","1","1","1","1",""
"Mypka","68%","1","1","1","1","1","1","1","1","1","","","","","1","","1"
"Nerfh","81%","1","1","1","1","1","1","1","1","","1","1","1","1","1","",""
"Nespherus","62%","1","1","1","1","1","1","","","1","1","","1","","","1",""
"Nóddy","75%","","","1","1","1","1","1","1","1","1","","1","1","1","","1"
"Pyhton","6%","1","","","","","","","","","","","","","","",""
"Quelzan","81%","1","1","1","1","1","1","1","1","1","1","","1","","1","","1"
"Razgore","43%","","","","1","1","1","1","1","1","1","","","","","",""
"Royalblood","43%","","","","","1","1","","1","1","1","","1","","1","",""
"Silenzio","81%","1","1","1","1","1","1","1","1","1","1","","1","","1","","1"
"Tahuk","37%","1","1","1","","","","1","","","","1","","","1","",""
"Talasi","93%","1","1","1","1","1","1","1","1","1","1","1","1","1","1","","1"
"Thaalia","62%","","1","1","1","1","1","1","1","1","","","","1","","1",""
"Undergang","56%","","","","","1","1","1","1","1","1","","1","1","1","",""
"Woki","6%","","","","","","","","","1","","","","","","",""
"Yojo","12%","1","1","","","","","","","","","","","","","",""
"Zarkov","75%","1","1","1","1","1","1","1","1","1","1","","","","1","","1"
"Zulnabor","37%","","","1","1","","","1","1","","1","","1","","","",""
