"Name","Att.%","SSC26/10","Gru26/10","SSC24/10","SSC19/10","Gru19/10","SSC17/10","SSC12/10","Gru12/10","SSC10/10","SSC3/10","SSC28/9","Gru28/9","SSC26/9","SSC21/9","Gru19/9","Gru14/9"
"Aggropolice","6%","","","","","","","","1","","","","","","","",""
"Aimar","6%","","","","","","","","1","","","","","","","",""
"Aniothable","25%","1","1","1","","","1","","","","","","","","","",""
"Arrbi","6%","","","","","","","","","","","","","","","","1"
"Bawdy","6%","","","","","","","","","","","","","1","","",""
"Blowmeister","6%","","","","","","","","","","","","","","1","",""
"Brenonna","12%","","1","","","1","","","","","","","","","","",""
"Bærlinwall","6%","","","","","","","1","","","","","","","","",""
"Bôôg","6%","","","","","1","","","","","","","","","","",""
"Ckydayle","68%","1","1","","1","1","","","","","1","1","1","1","1","1","1"
"Cloudfire","18%","","","","","","1","","","1","","","","","","","1"
"Daxa","93%","1","1","1","1","","1","1","1","1","1","1","1","1","1","1","1"
"Deekin","81%","1","1","1","1","1","1","1","1","1","1","","","1","","1","1"
"Doomhere","6%","","","","1","","","","","","","","","","","",""
"Dragh","6%","","","","1","","","","","","","","","","","",""
"Enemy","6%","","","","","","","","","","","","","","","1",""
"Fourxxz","87%","1","","1","1","1","1","1","1","1","1","1","1","1","1","","1"
"Gargonzala","31%","","","","","","","","","","1","1","1","1","","1",""
"Garzhik","43%","1","1","1","1","1","1","","1","","","","","","","",""
"Gogoroth","100%","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"Harahsjorn","43%","","","","","","1","","","1","1","1","1","","1","1",""
"Harmlessharm","100%","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"Hipster","68%","1","1","","1","1","","1","1","1","1","1","1","","1","",""
"Ixam","100%","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"Kaarism","87%","1","1","1","1","1","","1","1","1","","1","1","1","1","1","1"
"Karosh","6%","1","","","","","","","","","","","","","","",""
"Keyzer","87%","1","1","1","1","1","1","","","1","1","1","1","1","1","1","1"
"Kloro","6%","","","","","","","","","","","","","","","","1"
"Kroggar","100%","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"Kurtizzle","6%","","","","1","","","","","","","","","","","",""
"Lahocla","6%","","","1","","","","","","","","","","","","",""
"Lilypad","50%","1","1","1","","","1","1","1","1","1","","","","","",""
"Malið","6%","","","","","","","","","","","","","","","","1"
"Mayyday","81%","1","1","1","","","1","1","1","1","1","1","","1","1","1","1"
"Mypka","93%","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",""
"Nerfh","93%","1","1","1","1","1","1","1","1","1","1","1","1","1","1","","1"
"Nespherus","87%","1","1","1","1","1","1","1","1","1","1","1","1","","","1","1"
"Nóddy","81%","","1","1","1","1","1","","","1","1","1","1","1","1","1","1"
"Pyhton","6%","","","","","","","1","","","","","","","","",""
"Quelzan","81%","1","1","1","","","","1","1","1","1","1","1","1","1","1","1"
"Razgore","43%","","","","","","","","","","1","1","1","1","1","1","1"
"Royalblood","31%","","","","","","","","","","","1","1","","1","1","1"
"Silenzio","81%","","","","1","1","1","1","1","1","1","1","1","1","1","1","1"
"Tahuk","43%","1","1","","","","1","1","1","1","","","","1","","",""
"Talasi","100%","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"Thaalia","68%","1","","1","1","","","","1","1","1","1","1","1","1","1",""
"Undergang","75%","1","1","1","1","1","1","","","","","1","1","1","1","1","1"
"Vuksa","6%","","","","","","1","","","","","","","","","",""
"Woki","31%","","","1","1","1","1","","","","","","","","","1",""
"Yleky","6%","","","1","","","","","","","","","","","","",""
"Yojo","12%","","","","","","","1","1","","","","","","","",""
"Zarkov","100%","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"Zulnabor","31%","","","","","","","","","1","1","","","1","1","","1"
