"Name","Att.%","SSC9/11","Gru9/11","SSC7/11","Kar4/11","SSC2/11","Gru2/11","SSC31/10","SSC26/10","Gru26/10","SSC24/10","SSC19/10","Gru19/10","SSC17/10","SSC12/10","Gru12/10","SSC10/10"
"Aggropolice","6%","","","","","","","","","","","","","","","1",""
"Aimar","6%","","","","","","","","","","","","","","","1",""
"Aniothable","50%","1","1","1","","","","1","1","1","1","","","1","","",""
"Brenonna","12%","","","","","","","","","1","","","1","","","",""
"Bærlinwall","6%","","","","","","","","","","","","","","1","",""
"Bôôg","31%","","1","1","1","","1","","","","","","1","","","",""
"Ckydayle","56%","1","1","1","","1","1","","1","1","","1","1","","","",""
"Cloudfire","50%","1","1","1","","1","1","1","","","","","","1","","","1"
"Daxa","81%","1","1","1","","1","","1","1","1","1","1","","1","1","1","1"
"Daxos","6%","","","","1","","","","","","","","","","","",""
"Deekin","93%","1","1","1","","1","1","1","1","1","1","1","1","1","1","1","1"
"Doomhere","6%","","","","","","","","","","","1","","","","",""
"Dragh","6%","","","","","","","","","","","1","","","","",""
"Fourxxz","87%","1","1","1","","1","1","1","1","","1","1","1","1","1","1","1"
"Garzhik","75%","1","1","","","1","1","1","1","1","1","1","1","1","","1",""
"Gogoroth","100%","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"Harahsjorn","31%","1","","","","1","1","","","","","","","1","","","1"
"Harmlessharm","81%","","","1","","1","1","1","1","1","1","1","1","1","1","1","1"
"Hashhealz","6%","","","","1","","","","","","","","","","","",""
"Hipster","81%","1","1","1","","1","1","1","1","1","","1","1","","1","1","1"
"Ixam","93%","1","1","1","","1","1","1","1","1","1","1","1","1","1","1","1"
"Kaarism","87%","1","1","1","1","1","1","","1","1","1","1","1","","1","1","1"
"Karosh","6%","","","","","","","","1","","","","","","","",""
"Keyzer","68%","1","","","","1","1","1","1","1","1","1","1","1","","","1"
"Kroggar","81%","1","1","1","1","","","","1","1","1","1","1","1","1","1","1"
"Kurtizzle","6%","","","","","","","","","","","1","","","","",""
"Lahocla","18%","","","1","","","","1","","","1","","","","","",""
"Lilypad","81%","1","1","1","","1","1","1","1","1","1","","","1","1","1","1"
"Mayyday","81%","1","1","1","","1","1","1","1","1","1","","","1","1","1","1"
"Mypka","93%","1","1","1","","1","1","1","1","1","1","1","1","1","1","1","1"
"Mysfan","6%","","","","1","","","","","","","","","","","",""
"Nerfh","93%","1","1","1","","1","1","1","1","1","1","1","1","1","1","1","1"
"Nespherus","93%","1","1","1","","1","1","1","1","1","1","1","1","1","1","1","1"
"Nóddy","68%","","1","1","","1","1","1","","1","1","1","1","1","","","1"
"Pyhton","6%","","","","","","","","","","","","","","1","",""
"Quelzan","75%","1","1","1","","1","1","1","1","1","1","","","","1","1","1"
"Silenzio","50%","1","","","","","","1","","","","1","1","1","1","1","1"
"Silenziø","6%","","1","","","","","","","","","","","","","",""
"Tahuk","75%","1","1","1","","1","1","1","1","1","","","","1","1","1","1"
"Talasi","100%","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"Thaalia","62%","1","","1","","1","1","1","1","","1","1","","","","1","1"
"Undergang","68%","1","1","1","","1","1","","1","1","1","1","1","1","","",""
"Vuksa","6%","","","","","","","","","","","","","1","","",""
"Woki","31%","","","","1","","","","","","1","1","1","1","","",""
"Xidana","6%","","","","1","","","","","","","","","","","",""
"Yleky","12%","","","2","","","","","","","1","","","","","",""
"Yojo","12%","","","","","","","","","","","","","","1","1",""
"Zarkov","93%","1","1","1","","1","1","1","1","1","1","1","1","1","1","1","1"
"Zentra","6%","","","","","","","1","","","","","","","","",""
"Zulnabor","6%","","","","","","","","","","","","","","","","1"
