"Name","Att.%","SSC16/11","SSC14/11","SSC9/11","SSC7/11","SSC2/11","SSC31/10","SSC26/10","SSC24/10","SSC19/10","SSC17/10","SSC12/10","SSC10/10","SSC3/10","SSC28/9","SSC26/9","SSC21/9"
"Aniothable","50%","1","1","1","1","","1","1","1","","1","","","","","",""
"Bawdy","6%","","","","","","","","","","","","","","","1",""
"Blowmeister","6%","","","","","","","","","","","","","","","","1"
"Bærlinwall","6%","","","","","","","","","","","1","","","","",""
"Bôôg","12%","1","","","1","","","","","","","","","","","",""
"Ckydayle","68%","1","1","1","1","1","","1","","1","","","","1","1","1","1"
"Cloudfire","37%","","","1","1","1","1","","","","1","","1","","","",""
"Daxa","100%","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"Deekin","87%","1","1","1","1","1","1","1","1","1","1","1","1","1","","1",""
"Doomhere","6%","","","","","","","","","1","","","","","","",""
"Dragh","6%","","","","","","","","","1","","","","","","",""
"Fourxxz","93%","1","","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"Gargonzala","18%","","","","","","","","","","","","","1","1","1",""
"Garzhik","50%","","1","1","","1","1","1","1","1","1","","","","","",""
"Gogoroth","100%","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"Harahsjorn","56%","1","1","1","","1","","","","","1","","1","1","1","","1"
"Harmlessharm","93%","1","1","","1","1","1","1","1","1","1","1","1","1","1","1","1"
"Hipster","75%","1","","1","1","1","1","1","","1","","1","1","1","1","","1"
"Ixam","100%","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"Kaarism","81%","1","1","1","1","1","","1","1","1","","1","1","","1","1","1"
"Karosh","6%","","","","","","","1","","","","","","","","",""
"Keyzer","87%","1","1","1","","1","1","1","1","1","1","","1","1","1","1","1"
"Kroggar","87%","1","1","1","1","","","1","1","1","1","1","1","1","1","1","1"
"Kurtizzle","6%","","","","","","","","","1","","","","","","",""
"Lahocla","25%","","1","","1","","1","","1","","","","","","","",""
"Lilypad","75%","1","1","1","1","1","1","1","1","","1","1","1","1","","",""
"Mayyday","87%","","1","1","1","1","1","1","1","","1","1","1","1","1","1","1"
"Mypka","100%","2","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"Nerfh","100%","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"Nespherus","87%","1","1","1","1","1","1","1","1","1","1","1","1","1","1","",""
"Nóddy","81%","1","1","","1","1","1","","1","1","1","","1","1","1","1","1"
"Pyhton","6%","","","","","","","","","","","1","","","","",""
"Quelzan","87%","1","1","1","1","1","1","1","1","","","1","1","1","1","1","1"
"Razgore","25%","","","","","","","","","","","","","1","1","1","1"
"Royalblood","12%","","","","","","","","","","","","","","1","","1"
"Silenzio","62%","","","1","","","1","","","1","1","1","1","1","1","1","1"
"Tahuk","68%","1","1","1","1","1","1","1","","","1","1","1","","","1",""
"Talasi","100%","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"Thaalia","81%","1","","1","1","1","1","1","1","1","","","1","1","1","1","1"
"Undergang","68%","","1","1","1","1","","1","1","1","1","","","","1","1","1"
"Vuksa","6%","","","","","","","","","","1","","","","","",""
"Wilderhoof","12%","1","1","","","","","","","","","","","","","",""
"Woki","25%","1","","","","","","","1","1","1","","","","","",""
"Yleky","18%","2","","","2","","","","1","","","","","","","",""
"Yojo","6%","","","","","","","","","","","1","","","","",""
"Zarkov","100%","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"Zentra","6%","","","","","","1","","","","","","","","","",""
"Zulnabor","25%","","","","","","","","","","","","1","1","","1","1"
