"Name","Att.%","SSC10/10","SSC3/10","SSC28/9","Gru28/9","SSC26/9","SSC21/9","Gru19/9","Gru14/9","Kar12/9","Gru7/9","Kar5/9","Gru30/8","Kar29/8","Kar29/8","Kar29/8","Gru23/8"
"Arrbi","18%","","","","","","","","1","","","","1","","","","1"
"Bawdy","6%","","","","","1","","","","","","","","","","",""
"Blowmeister","6%","","","","","","1","","","","","","","","","",""
"Bull","25%","","","","","","","","","","","","1","1","","1","1"
"Ckydayle","68%","","1","1","1","1","1","1","1","","1","","1","","1","","1"
"Cloudfire","50%","1","","","","","","","1","1","1","","1","1","","1","1"
"Daxa","81%","1","1","1","1","1","1","1","1","","1","","1","1","","1","1"
"Deekin","50%","1","1","","","1","","1","1","","1","","1","","","","1"
"Enemy","25%","","","","","","","1","","","","1","","1","","1",""
"Fourxxz","75%","1","1","1","1","1","1","","1","","1","","1","1","","1","1"
"Gargonzala","68%","","1","1","1","1","","1","","1","1","","1","1","","1","1"
"Gogoroth","87%","1","1","1","1","1","1","1","1","1","1","1","1","1","","1",""
"Harahsjorn","50%","1","1","1","1","","1","1","","","1","","","","","","1"
"Harmlessharm","87%","1","1","1","1","1","1","1","1","1","1","1","1","1","","1",""
"Hipster","56%","1","1","1","1","","1","","","","1","","1","","1","","1"
"Holyknees","6%","","","","","","","","","","","","","","","","1"
"Ixam","81%","1","1","1","1","1","1","1","1","1","1","","1","","1","","1"
"Kaarism","56%","1","","1","1","1","1","1","1","1","1","","","","","",""
"Keyzer","81%","1","1","1","1","1","1","1","1","","1","1","1","","1","","1"
"Kloro","12%","","","","","","","","1","","","","","","","","1"
"Kroggar","62%","1","1","1","1","1","1","1","1","1","1","","","","","",""
"Lilypad","12%","1","1","","","","","","","","","","","","","",""
"Malið","25%","","","","","","","","1","","1","","1","","","","1"
"Mayyday","68%","1","1","1","","1","1","1","1","","1","1","1","1","","",""
"Mypka","62%","1","1","1","1","1","1","1","","","","","1","","1","","1"
"Nerfh","75%","1","1","1","1","1","1","","1","1","1","1","1","","","","1"
"Nespherus","62%","1","1","1","1","","","1","1","","1","","","1","","1","1"
"Nóddy","81%","1","1","1","1","1","1","1","1","","1","1","1","","1","","1"
"Quelzan","75%","1","1","1","1","1","1","1","1","","1","","1","","1","","1"
"Razgore","43%","","1","1","1","1","1","1","1","","","","","","","",""
"Royalblood","43%","","","1","1","","1","1","1","","1","","1","","","",""
"Silenzio","75%","1","1","1","1","1","1","1","1","","1","","1","","1","","1"
"Tahuk","31%","1","","","","1","","","","1","","","1","","","","1"
"Talasi","87%","1","1","1","1","1","1","1","1","1","1","1","1","","1","","1"
"Thaalia","62%","1","1","1","1","1","1","1","","","","1","","1","","1",""
"Undergang","62%","","","1","1","1","1","1","1","","1","1","1","","","","1"
"Woki","6%","","","","","","","1","","","","","","","","",""
"Zarkov","68%","1","1","1","1","1","1","1","1","","","","1","","1","","1"
"Zulnabor","37%","1","1","","","1","1","","1","","1","","","","","",""
