Name,2021-09-28,2021-09-26,2021-09-21,2021-09-19,2021-09-14,2021-09-07,2021-08-30,2021-08-23,Attendance
Gogoroth,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.875
Harmlessharm,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.875
Talasi,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Daxa,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Ixam,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Keyzer,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Nóddy,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Ckydayle,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Gargonzala,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.75
Nerfh,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.875
Quelzan,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Undergang,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Fourxxz,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.875
Silenzio,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Zarkov,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.875
Mayyday,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.8125
Mypka,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.75
Nespherus,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.625
Cloudfire,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.5
Hipster,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.625
Kaarism,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.75
Kroggar,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.75
Thaalia,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5
Deekin,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.75
Harahsjorn,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.625
Royalblood,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.75
Razgore,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.625
Enemy,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.125
Bull,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.25
Malið,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.5
Tahuk,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.375
Zulnabor,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.5
Arrbi,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.375
Kloro,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.25
Bawdy,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125
Blowmeister,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.125
Holyknees,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.125
Woki,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.125
