"Time","Event",""
"00:01:03.327","Hipster dies from The Lurker Below's  Spout",""
"00:01:12.143","Nóddy dies from Environment's  Scalding Water",""
"00:01:48.854","Daxa dies from Coilfang Guardian 1's  Hamstring",""
"00:02:45.209","Keyzer dies from The Lurker Below's  Spout",""
"00:02:47.980","Zarkov dies from Environment's  Scalding Water",""
"00:03:04.638","Gogoroth dies from Coilfang Ambusher 4's  Spread Shot",""
"00:03:06.252","Mypka dies from Environment's  Scalding Water",""
"00:03:17.952","Thaalia dies from Thaalia's  Divine Intervention",""
"00:03:18.763","Mayyday dies",""
"00:03:24.229","Nerfh dies from Coilfang Ambusher 5's  Spread Shot",""
"00:03:30.372","Kaarism dies from Coilfang Ambusher 1's  Spread Shot",""
"00:03:30.781","Silenzio dies from Coilfang Ambusher 2's  Spread Shot",""
"00:03:35.340","Ckydayle dies from Coilfang Ambusher 1's  Shoot",""
"00:03:36.489","Ixam dies from The Lurker Below's  Melee",""
"00:03:41.256","Mayyday dies from The Lurker Below's  Spout",""
"00:03:44.471","Royalblood dies from The Lurker Below's  Spout",""
"00:03:47.841","Kroggar dies from Coilfang Ambusher 4's  Spread Shot",""
"00:03:47.908","Harmlessharm dies from Environment's  Scalding Water",""
"00:03:48.820","Quelzan dies from Coilfang Ambusher 2's  Shoot",""
"00:03:50.081","Zulnabor dies from Coilfang Ambusher 4's  Spread Shot",""
"00:03:50.454","Fourxxz dies from Environment's  Scalding Water",""
"00:03:56.579","Razgore dies from Environment's  Scalding Water",""
"00:03:57.044","Blowmeister dies from Coilfang Ambusher 6's  Shoot",""
"00:03:59.777","Undergang dies from Coilfang Ambusher 2's  Shoot",""
"00:04:01.720","Talasi dies from The Lurker Below's  Water Bolt",""
